"date","aud_price"
"2020-04-16","1.3095"
"2020-04-17","1.3185"
"2020-04-20","1.3415"
"2020-04-21","1.3382"
"2020-04-22","1.2994"
"2020-04-23","1.3235"
"2020-04-24","1.3105"
"2020-04-27","1.3196"
"2020-04-28","1.3387"
"2020-04-29","1.3231"
"2020-04-30","1.3494"
"2020-05-01","1.3557"
"2020-05-04","1.3321"
"2020-05-05","1.3455"
"2020-05-06","1.3646"
"2020-05-07","1.3943"
"2020-05-08","1.4020"
"2020-05-11","1.4159"
"2020-05-12","1.4395"
"2020-05-13","1.4202"
"2020-05-14","1.4118"
"2020-05-15","1.4142"
"2020-05-18","1.4339"
"2020-05-19","1.4466"
"2020-05-20","1.4515"
"2020-05-21","1.4745"
"2020-05-22","1.4776"
"2020-05-25","1.4864"
"2020-05-26","1.4950"
"2020-05-27","1.4863"
"2020-05-28","1.4867"
"2020-05-29","1.4845"
"2020-06-01","1.4973"
"2020-06-02","1.4883"
"2020-06-03","1.4927"
"2020-06-04","1.5050"
"2020-06-05","1.4867"
"2020-06-09","1.4946"
"2020-06-10","1.5081"
"2020-06-11","1.5198"
"2020-06-12","1.4798"
"2020-06-15","1.4840"
"2020-06-16","1.4868"
"2020-06-17","1.5245"
"2020-06-18","1.5432"
"2020-06-19","1.5599"
"2020-06-22","1.5667"
"2020-06-23","1.5677"
"2020-06-24","1.5743"
"2020-06-25","1.5564"
"2020-06-26","1.5590"
"2020-06-29","1.5421"
"2020-06-30","1.5453"
"2020-07-01","1.564000"
"2020-07-02","1.582529"
"2020-07-03","1.602210"
"2020-07-06","1.602004"
"2020-07-07","1.623611"
"2020-07-08","1.629017"
"2020-07-09","1.644466"
"2020-07-10","1.660727"
"2020-07-13","1.666817"
"2020-07-14","1.632571"
"2020-07-15","1.625055"
"2020-07-16","1.637742"
"2020-07-17","1.627069"
"2020-07-20","1.632282"
"2020-07-21","1.670541"
"2020-07-22","1.652315"
"2020-07-23","1.650292"
"2020-07-24","1.632573"
"2020-07-27","1.616881"
"2020-07-28","1.637759"
"2020-07-29","1.620165"
"2020-07-30","1.634451"
"2020-07-31","1.638087"
"2020-08-03","1.647072"
"2020-08-04","1.677879"
"2020-08-05","1.684754"
"2020-08-06","1.701644"
"2020-08-07","1.702158"
"2020-08-10","1.688895"
"2020-08-11","1.682174"
"2020-08-12","1.660480"
"2020-08-13","1.673492"
"2020-08-14","1.687540"
"2020-08-17","1.686931"
"2020-08-18","1.699163"
"2020-08-19","1.717887"
"2020-08-20","1.730359"
"2020-08-21","1.747995"
"2020-08-24","1.755693"
"2020-08-25","1.773486"
"2020-08-26","1.783715"
"2020-08-27","1.818339"
"2020-08-28","1.808738"
"2020-08-31","1.795349"
"2020-09-01","1.798872"
"2020-09-02","1.819078"
"2020-09-03","1.834890"
"2020-09-04","1.783483"
"2020-09-07","1.737563"
"2020-09-08","1.737541"
"2020-09-09","1.702824"
"2020-09-10","1.712141"
"2020-09-11","1.706137"
"2020-09-14","1.694746"
"2020-09-15","1.719710"
"2020-09-16","1.736918"
"2020-09-17","1.730246"
"2020-09-18","1.702324"
"2020-09-21","1.702545"
"2020-09-22","1.713014"
"2020-09-23","1.742627"
"2020-09-24","1.735809"
"2020-09-25","1.734051"
"2020-09-28","1.768428"
"2020-09-29","1.784121"
"2020-09-30","1.777380"
"2020-10-01","1.772697"
"2020-10-02","1.795955"
"2020-10-06","1.770083"
"2020-10-07","1.802061"
"2020-10-08","1.824907"
"2020-10-09","1.833966"
"2020-10-12","1.839448"
"2020-10-13","1.873975"
"2020-10-14","1.895155"
"2020-10-15","1.884321"
"2020-10-16","1.887222"
"2020-10-19","1.887614"
"2020-10-20","1.881145"
"2020-10-21","1.890386"
"2020-10-22","1.877004"
"2020-10-23","1.883076"
"2020-10-26","1.891073"
"2020-10-27","1.861902"
"2020-10-28","1.873358"
"2020-10-29","1.846700"
"2020-10-30","1.854981"
"2020-11-02","1.794497"
"2020-11-03","1.797080"
"2020-11-04","1.803491"
"2020-11-05","1.869008"
"2020-11-06","1.892004"
"2020-11-09","1.921020"
"2020-11-10","1.888440"
"2020-11-11","1.828834"
"2020-11-12","1.863254"
"2020-11-13","1.870807"
"2020-11-16","1.874932"
"2020-11-17","1.876032"
"2020-11-18","1.880283"
"2020-11-19","1.873349"
"2020-11-20","1.898841"
"2020-11-23","1.903241"
"2020-11-24","1.928776"
"2020-11-25","1.921890"
"2020-11-26","1.920959"
"2020-11-27","1.927169"
"2020-11-30","1.941336"
"2020-12-01","1.952786"
"2020-12-02","1.954068"
"2020-12-03","1.945748"
"2020-12-04","1.945787"
"2020-12-07","1.963022"
"2020-12-08","1.977553"
"2020-12-09","1.989095"
"2020-12-10","1.959253"
"2020-12-11","1.955179"
"2020-12-14","1.957022"
"2020-12-15","1.958302"
"2020-12-16","1.962042"
"2020-12-17","1.977811"
"2020-12-18","1.998138"
"2020-12-21","2.001875"
"2020-12-22","2.003996"
"2020-12-23","2.026109"
"2020-12-24","2.003361"
"2020-12-29","1.998427"
"2020-12-30","1.983191"
"2020-12-31","1.976611"
"2021-01-04","1.968308"
"2021-01-05","1.960375"
"2021-01-06","1.962260"
"2021-01-07","1.924946"
"2021-01-08","1.970051"
"2021-01-11","1.999702"
"2021-01-12","1.995156"
"2021-01-13","1.991181"
"2021-01-14","1.999346"
"2021-01-15","1.990203"
"2021-01-18","1.991042"
"2021-01-19","2.000439"
"2021-01-20","2.030772"
"2021-01-21","2.055369"
"2021-01-22","2.057925"
"2021-01-25","2.061615"
"2021-01-27","2.067416"
"2021-01-28","2.004384"
"2021-01-29","2.023602"
"2021-02-01","2.003447"
"2021-02-02","2.056183"
"2021-02-03","2.107679"
"2021-02-04","2.106906"
"2021-02-05","2.138099"
"2021-02-08","2.151751"
"2021-02-09","2.171939"
"2021-02-10","2.178765"
"2021-02-11","2.198952"
"2021-02-12","2.212669"
"2021-02-15","2.221206"
"2021-02-16","2.223241"
