"date","aud_price"
"2020-02-11","1.2749"
"2020-02-12","1.2774"
"2020-02-13","1.2800"
"2020-02-14","1.2791"
"2020-02-17","1.2809"
"2020-02-18","1.2823"
"2020-02-19","1.2799"
"2020-02-20","1.2890"
"2020-02-21","1.2944"
"2020-02-24","1.2850"
"2020-02-25","1.2505"
"2020-02-26","1.2254"
"2020-02-27","1.2259"
"2020-02-28","1.1904"
"2020-03-02","1.1771"
"2020-03-03","1.2021"
"2020-03-04","1.1833"
"2020-03-05","1.2033"
"2020-03-06","1.1897"
"2020-03-09","1.1659"
"2020-03-10","1.1019"
"2020-03-11","1.1427"
"2020-03-12","1.1094"
"2020-03-13","1.0583"
"2020-03-16","1.1178"
"2020-03-17","1.0327"
"2020-03-18","1.0893"
"2020-03-19","1.0694"
"2020-03-20","1.0629"
"2020-03-23","1.0491"
"2020-03-24","1.0154"
"2020-03-25","1.0622"
"2020-03-26","1.0855"
"2020-03-27","1.1131"
"2020-03-30","1.0722"
"2020-03-31","1.0970"
"2020-04-01","1.0960"
"2020-04-02","1.0827"
"2020-04-03","1.0985"
"2020-04-06","1.0928"
"2020-04-07","1.1270"
"2020-04-08","1.1162"
"2020-04-09","1.1228"
"2020-04-14","1.1232"
"2020-04-15","1.1310"
"2020-04-16","1.1303"
"2020-04-17","1.1289"
"2020-04-20","1.1506"
"2020-04-21","1.1405"
"2020-04-22","1.1174"
"2020-04-23","1.1280"
"2020-04-24","1.1210"
"2020-04-27","1.1255"
"2020-04-28","1.1356"
"2020-04-29","1.1300"
"2020-04-30","1.1404"
"2020-05-01","1.1442"
"2020-05-04","1.1234"
"2020-05-05","1.1233"
"2020-05-06","1.1330"
"2020-05-07","1.1336"
"2020-05-08","1.1285"
"2020-05-11","1.1367"
"2020-05-12","1.1493"
"2020-05-13","1.1355"
"2020-05-14","1.1253"
"2020-05-15","1.1220"
"2020-05-18","1.1316"
"2020-05-19","1.1457"
"2020-05-20","1.1425"
"2020-05-21","1.1480"
"2020-05-22","1.1456"
"2020-05-25","1.1413"
"2020-05-26","1.1476"
"2020-05-27","1.1482"
"2020-05-28","1.1629"
"2020-05-29","1.1653"
"2020-06-01","1.1596"
"2020-06-02","1.1529"
"2020-06-03","1.1500"
"2020-06-04","1.1661"
"2020-06-05","1.1645"
"2020-06-09","1.1809"
"2020-06-10","1.1908"
"2020-06-11","1.1838"
"2020-06-12","1.1470"
"2020-06-15","1.1481"
"2020-06-16","1.1372"
"2020-06-17","1.1675"
"2020-06-18","1.1706"
"2020-06-19","1.1719"
"2020-06-22","1.1739"
"2020-06-23","1.1667"
"2020-06-24","1.1718"
"2020-06-25","1.1616"
"2020-06-26","1.1603"
"2020-06-29","1.1501"
"2020-06-30","1.1535"
"2020-07-01","1.161400"
"2020-07-02","1.146960"
"2020-07-03","1.158147"
"2020-07-06","1.159900"
"2020-07-07","1.174945"
"2020-07-08","1.170150"
"2020-07-09","1.168462"
"2020-07-10","1.168810"
"2020-07-13","1.176106"
"2020-07-14","1.175939"
"2020-07-15","1.175606"
"2020-07-16","1.182624"
"2020-07-17","1.180054"
"2020-07-20","1.182981"
"2020-07-21","1.184765"
"2020-07-22","1.181475"
"2020-07-23","1.177140"
"2020-07-24","1.178424"
"2020-07-27","1.166833"
"2020-07-28","1.169954"
"2020-07-29","1.165284"
"2020-07-30","1.166880"
"2020-07-31","1.159443"
"2020-08-03","1.156290"
"2020-08-04","1.166549"
"2020-08-05","1.172894"
"2020-08-06","1.172614"
"2020-08-07","1.170141"
"2020-08-10","1.176670"
"2020-08-11","1.180464"
"2020-08-12","1.181431"
"2020-08-13","1.192008"
"2020-08-14","1.189934"
"2020-08-17","1.187732"
"2020-08-18","1.187134"
"2020-08-19","1.187770"
"2020-08-20","1.192924"
"2020-08-21","1.190450"
"2020-08-24","1.197520"
"2020-08-25","1.208327"
"2020-08-26","1.209113"
"2020-08-27","1.214292"
"2020-08-28","1.210201"
"2020-08-31","1.198963"
"2020-09-01","1.195192"
"2020-09-02","1.195124"
"2020-09-03","1.213927"
"2020-09-04","1.200227"
"2020-09-07","1.184525"
"2020-09-08","1.184601"
"2020-09-09","1.176602"
"2020-09-10","1.178436"
"2020-09-11","1.173767"
"2020-09-14","1.172972"
"2020-09-15","1.184148"
"2020-09-16","1.190210"
"2020-09-17","1.189533"
"2020-09-18","1.178858"
"2020-09-21","1.176250"
"2020-09-22","1.171184"
"2020-09-23","1.179334"
"2020-09-24","1.180879"
"2020-09-25","1.177410"
"2020-09-28","1.189663"
"2020-09-29","1.197242"
"2020-09-30","1.187187"
"2020-10-01","1.184176"
"2020-10-02","1.186905"
"2020-10-06","1.179350"
"2020-10-07","1.199724"
"2020-10-08","1.211568"
"2020-10-09","1.215753"
"2020-10-12","1.216750"
"2020-10-13","1.235297"
"2020-10-14","1.241295"
"2020-10-15","1.235024"
"2020-10-16","1.237067"
"2020-10-19","1.244422"
"2020-10-20","1.239219"
"2020-10-21","1.242732"
"2020-10-22","1.230993"
"2020-10-23","1.231619"
"2020-10-26","1.229293"
"2020-10-27","1.215575"
"2020-10-28","1.206537"
"2020-10-29","1.191233"
"2020-10-30","1.195590"
"2020-11-02","1.185343"
"2020-11-03","1.194560"
"2020-11-04","1.198615"
"2020-11-05","1.219837"
"2020-11-06","1.226168"
"2020-11-09","1.233966"
"2020-11-10","1.242254"
"2020-11-11","1.243822"
"2020-11-12","1.256717"
"2020-11-13","1.256811"
"2020-11-16","1.260486"
"2020-11-17","1.263612"
"2020-11-18","1.263554"
"2020-11-19","1.256176"
"2020-11-20","1.261060"
"2020-11-23","1.256333"
"2020-11-24","1.264867"
"2020-11-25","1.268940"
"2020-11-26","1.268440"
"2020-11-27","1.270361"
"2020-11-30","1.271249"
"2020-12-01","1.265003"
"2020-12-02","1.274441"
"2020-12-03","1.270295"
"2020-12-04","1.266581"
"2020-12-07","1.278379"
"2020-12-08","1.278999"
"2020-12-09","1.282298"
"2020-12-10","1.274609"
"2020-12-11","1.261235"
"2020-12-14","1.257549"
"2020-12-15","1.253716"
"2020-12-16","1.254840"
"2020-12-17","1.258477"
"2020-12-18","1.262399"
"2020-12-21","1.257691"
"2020-12-22","1.254243"
"2020-12-23","1.255737"
"2020-12-24","1.250774"
"2020-12-29","1.252150"
"2020-12-30","1.262824"
"2020-12-31","1.257248"
"2021-01-04","1.257103"
"2021-01-05","1.256319"
"2021-01-06","1.254376"
"2021-01-07","1.247559"
"2021-01-08","1.262832"
"2021-01-11","1.272058"
"2021-01-12","1.275402"
"2021-01-13","1.266797"
"2021-01-14","1.274610"
"2021-01-15","1.271291"
"2021-01-18","1.274355"
"2021-01-19","1.276693"
"2021-01-20","1.288190"
"2021-01-21","1.292889"
"2021-01-22","1.292237"
"2021-01-25","1.291333"
"2021-01-27","1.299186"
"2021-01-28","1.271414"
"2021-01-29","1.272904"
"2021-02-01","1.258996"
"2021-02-02","1.276978"
"2021-02-03","1.294698"
"2021-02-04","1.297158"
"2021-02-05","1.304081"
"2021-02-08","1.300803"
"2021-02-09","1.303988"
"2021-02-10","1.301084"
"2021-02-11","1.307424"
"2021-02-12","1.306056"
"2021-02-15","1.308400"
"2021-02-16","1.308081"
"2021-02-17","1.315702"
"2021-02-18","1.316124"
"2021-02-19","1.304257"
"2021-02-22","1.286738"
"2021-02-23","1.268763"
"2021-02-24","1.271535"
"2021-02-25","1.263840"
"2021-02-26","1.261069"
"2021-03-01","1.263859"
"2021-03-02","1.280173"
"2021-03-03","1.265272"
"2021-03-04","1.266740"
"2021-03-05","1.254984"
"2021-03-08","1.271581"
"2021-03-09","1.268093"
"2021-03-10","1.274604"
"2021-03-11","1.278777"
"2021-03-12","1.284377"
"2021-03-15","1.285467"
"2021-03-16","1.289206"
"2021-03-17","1.294843"
"2021-03-18","1.287994"
"2021-03-19","1.281222"
"2021-03-22","1.280822"
"2021-03-23","1.288238"
"2021-03-24","1.296468"
"2021-03-25","1.292060"
"2021-03-26","1.293566"
"2021-03-29","1.303511"
"2021-03-30","1.304382"
"2021-03-31","1.303396"
"2021-04-01","1.308279"
"2021-04-06","1.318919"
"2021-04-07","1.326342"
"2021-04-08","1.330667"
"2021-04-09","1.333666"
"2021-04-12","1.341319"
"2021-04-13","1.337063"
"2021-04-14","1.338223"
